episode,episode_order,speaker,utterance,lower_case,cleaned_text,stemmed_text
57264,61,"NEAL CONAN, host","And here's some emails that we have. This from Matt(ph) in Liverpool, New York. Personally, couldn't name five riders, but I love to see the French countryside. And this is from Amon(ph) in Sunnyvale, California. As an Irishman I was inspired by the great Sean Kelly and Stephen Roche in the 1980s. Roche began as a paperboy racing his friends delivering newspapers in Dublin when he was a kid. He went on to win the Tour de France in a dramatic finish against Spaniard Pedro Delgado in 1987, the first and only Irishman ever to do so.","and here's some emails that we have. this from matt(ph) in liverpool, new york. personally, couldn't name five riders, but i love to see the french countryside. and this is from amon(ph) in sunnyvale, california. as an irishman i was inspired by the great sean kelly and stephen roche in the 1980s. roche began as a paperboy racing his friends delivering newspapers in dublin when he was a kid. he went on to win the tour de france in a dramatic finish against spaniard pedro delgado in 1987, the first and only irishman ever to do so.",and heres some emails that we have this from mattph in liverpool new york personally couldnt name five riders but i love to see the french countryside and this is from amonph in sunnyvale california as an irishman i was inspired by the great sean kelly and stephen roche in the 1980s roche began as a paperboy racing his friends delivering newspapers in dublin when he was a kid he went on to win the tour de france in a dramatic finish against spaniard pedro delgado in 1987 the first and only irishman ever to do so,and here some email that we have thi from mattph in liverpool new york person couldnt name five rider but i love to see the french countrysid and thi is from amonph in sunnyval california as an irishman i wa inspir by the great sean kelli and stephen roch in the 1980 roch began as a paperboy race hi friend deliv newspap in dublin when he wa a kid he went on to win the tour de franc in a dramat finish against spaniard pedro delgado in 1987 the first and onli irishman ever to do so
57264,62,"NEAL CONAN, host","I'm 35 years old and still racing for the Los Gatos Club here in California, Greg LeMond's old club. So that's, of course, the other great American rider before Lance Armstrong.","i'm 35 years old and still racing for the los gatos club here in california, greg lemond's old club. so that's, of course, the other great american rider before lance armstrong.",im 35 years old and still racing for the los gatos club here in california greg lemonds old club so thats of course the other great american rider before lance armstrong,im 35 year old and still race for the lo gato club here in california greg lemond old club so that of cours the other great american rider befor lanc armstrong
57264,63,"NEAL CONAN, host","And this is from Greg(ph) in Oklahoma City. It's a sporting event like no other. Unlike any other sport, it involves individual team -individual and team goals, none of which can be realized without the other. It has history, courage, teamwork and a host of unpredictable variables. I watch every day on the edge of my couch. Let's see if can go next to - this is Sterling(ph), Sterling with us from St. Helena in California.","and this is from greg(ph) in oklahoma city. it's a sporting event like no other. unlike any other sport, it involves individual team -individual and team goals, none of which can be realized without the other. it has history, courage, teamwork and a host of unpredictable variables. i watch every day on the edge of my couch. let's see if can go next to - this is sterling(ph), sterling with us from st. helena in california.",and this is from gregph in oklahoma city its a sporting event like no other unlike any other sport it involves individual team individual and team goals none of which can be realized without the other it has history courage teamwork and a host of unpredictable variables i watch every day on the edge of my couch lets see if can go next to  this is sterlingph sterling with us from st helena in california,and thi is from gregph in oklahoma citi it a sport event like no other unlik ani other sport it involv individu team individu and team goal none of which can be realiz without the other it ha histori courag teamwork and a host of unpredict variabl i watch everi day on the edg of my couch let see if can go next to  thi is sterlingph sterl with us from st helena in california
57264,64,STERLING (Caller),How are you all today?,how are you all today?,how are you all today,how are you all today
57264,65,"NEAL CONAN, host","Very well, thanks.","very well, thanks.",very well thanks,veri well thank
57264,66,STERLING (Caller),"Fantastic. Loren, love your magazine. You know, I think one of the things that's - that one of your callers mentioned, you know, in the dual proposal, you do get to see such an amazing part of the world and you could see it in great detail. But I think the thing that really draws me is the community that gets created every year when the tour is broadcast. The communities of cyclists and triathletes out, you know, all throughout the United States all gather together and, you know, discuss this, talk about this.","fantastic. loren, love your magazine. you know, i think one of the things that's - that one of your callers mentioned, you know, in the dual proposal, you do get to see such an amazing part of the world and you could see it in great detail. but i think the thing that really draws me is the community that gets created every year when the tour is broadcast. the communities of cyclists and triathletes out, you know, all throughout the united states all gather together and, you know, discuss this, talk about this.",fantastic loren love your magazine you know i think one of the things thats  that one of your callers mentioned you know in the dual proposal you do get to see such an amazing part of the world and you could see it in great detail but i think the thing that really draws me is the community that gets created every year when the tour is broadcast the communities of cyclists and triathletes out you know all throughout the united states all gather together and you know discuss this talk about this,fantast loren love your magazin you know i think one of the thing that  that one of your caller mention you know in the dual propos you do get to see such an amaz part of the world and you could see it in great detail but i think the thing that realli draw me is the commun that get creat everi year when the tour is broadcast the commun of cyclist and triathlet out you know all throughout the unit state all gather togeth and you know discuss thi talk about thi
57264,67,STERLING (Caller),"I was in a bike shop yesterday in Napa Valley and getting my bike work done and a 71-year-old woman walked in and said, you know, I want to buy a bike. You know, I was watching the tour and I want to get out on my bike. And, you know, I happen to have a 74-year-old mother who's got a Trek carbon bike and, you know, she's all inspired. And I think that's the thing that's so compelling is the sense of community, you know, these 20-something days create, you know, in the U.S.","i was in a bike shop yesterday in napa valley and getting my bike work done and a 71-year-old woman walked in and said, you know, i want to buy a bike. you know, i was watching the tour and i want to get out on my bike. and, you know, i happen to have a 74-year-old mother who's got a trek carbon bike and, you know, she's all inspired. and i think that's the thing that's so compelling is the sense of community, you know, these 20-something days create, you know, in the u.s.",i was in a bike shop yesterday in napa valley and getting my bike work done and a 71yearold woman walked in and said you know i want to buy a bike you know i was watching the tour and i want to get out on my bike and you know i happen to have a 74yearold mother whos got a trek carbon bike and you know shes all inspired and i think thats the thing thats so compelling is the sense of community you know these 20something days create you know in the us,i wa in a bike shop yesterday in napa valley and get my bike work done and a 71yearold woman walk in and said you know i want to buy a bike you know i wa watch the tour and i want to get out on my bike and you know i happen to have a 74yearold mother who got a trek carbon bike and you know she all inspir and i think that the thing that so compel is the sens of commun you know these 20someth day creat you know in the us
57264,68,STERLING (Caller),"And it's not - you don't see that. I mean, I think you'd see that in the World Cup with football but - soccer, but you don't see that in any other sports where people get together and they're really - it's participatory as well.","and it's not - you don't see that. i mean, i think you'd see that in the world cup with football but - soccer, but you don't see that in any other sports where people get together and they're really - it's participatory as well.",and its not  you dont see that i mean i think youd see that in the world cup with football but  soccer but you dont see that in any other sports where people get together and theyre really  its participatory as well,and it not  you dont see that i mean i think youd see that in the world cup with footbal but  soccer but you dont see that in ani other sport where peopl get togeth and theyr realli  it participatori as well
57264,69,"NEAL CONAN, host","Well, the sport, Loren Mooney, has a natural clubhouse, the bike shop.","well, the sport, loren mooney, has a natural clubhouse, the bike shop.",well the sport loren mooney has a natural clubhouse the bike shop,well the sport loren mooney ha a natur clubhous the bike shop
57264,70,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","That's true. The bike shop is our clubhouse, sports bar, church, all in one for the cyclists. And I think you're absolutely right. You drew the World Cup analogy there. And I think that's a good one because cycling, much like soccer in the U.S., is rarely shown on television with, you know, with any - in any depth. And so, this is our time to celebrate much like you saw the rather large soccer community in the U.S. gathering in sports bars watching the World Cup.","that's true. the bike shop is our clubhouse, sports bar, church, all in one for the cyclists. and i think you're absolutely right. you drew the world cup analogy there. and i think that's a good one because cycling, much like soccer in the u.s., is rarely shown on television with, you know, with any - in any depth. and so, this is our time to celebrate much like you saw the rather large soccer community in the u.s. gathering in sports bars watching the world cup.",thats true the bike shop is our clubhouse sports bar church all in one for the cyclists and i think youre absolutely right you drew the world cup analogy there and i think thats a good one because cycling much like soccer in the us is rarely shown on television with you know with any  in any depth and so this is our time to celebrate much like you saw the rather large soccer community in the us gathering in sports bars watching the world cup,that true the bike shop is our clubhous sport bar church all in one for the cyclist and i think your absolut right you drew the world cup analog there and i think that a good one becaus cycl much like soccer in the us is rare shown on televis with you know with ani  in ani depth and so thi is our time to celebr much like you saw the rather larg soccer commun in the us gather in sport bar watch the world cup
57264,71,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","This is the time when the cyclists gather together, watch, stop by the bike shop afterward, get into friendly arguments. It's funny how many times just this year I have watched the Tour de France live on TV, then gone out for a bike ride and I see a lot of other cyclists leaving at the same time, knowing that they had just watched the stage as well and now are free for the rest of their day to go out and do their own bike ride.","this is the time when the cyclists gather together, watch, stop by the bike shop afterward, get into friendly arguments. it's funny how many times just this year i have watched the tour de france live on tv, then gone out for a bike ride and i see a lot of other cyclists leaving at the same time, knowing that they had just watched the stage as well and now are free for the rest of their day to go out and do their own bike ride.",this is the time when the cyclists gather together watch stop by the bike shop afterward get into friendly arguments its funny how many times just this year i have watched the tour de france live on tv then gone out for a bike ride and i see a lot of other cyclists leaving at the same time knowing that they had just watched the stage as well and now are free for the rest of their day to go out and do their own bike ride,thi is the time when the cyclist gather togeth watch stop by the bike shop afterward get into friendli argument it funni how mani time just thi year i have watch the tour de franc live on tv then gone out for a bike ride and i see a lot of other cyclist leav at the same time know that they had just watch the stage as well and now are free for the rest of their day to go out and do their own bike ride
57264,72,"NEAL CONAN, host","Sterling, thanks very much for the call. Appreciate it.","sterling, thanks very much for the call. appreciate it.",sterling thanks very much for the call appreciate it,sterl thank veri much for the call appreci it
57264,73,STERLING (Caller),Yeah.,yeah.,yeah,yeah
57264,74,"NEAL CONAN, host","Email from Sean(ph) in Cleveland. The Tour de France reminds me of what the human body can achieve with massive amounts of dedication. Lance is my hero. All of these riders are my hero. And this is from Robert(ph) in Columbus, Ohio. Because it inspires me to write and because, quote, ""you're not having fun until you're not having fun."" And I suppose that last part is because it drives you to do things you didn't think you could do.","email from sean(ph) in cleveland. the tour de france reminds me of what the human body can achieve with massive amounts of dedication. lance is my hero. all of these riders are my hero. and this is from robert(ph) in columbus, ohio. because it inspires me to write and because, quote, ""you're not having fun until you're not having fun."" and i suppose that last part is because it drives you to do things you didn't think you could do.",email from seanph in cleveland the tour de france reminds me of what the human body can achieve with massive amounts of dedication lance is my hero all of these riders are my hero and this is from robertph in columbus ohio because it inspires me to write and because quote youre not having fun until youre not having fun and i suppose that last part is because it drives you to do things you didnt think you could do,email from seanph in cleveland the tour de franc remind me of what the human bodi can achiev with massiv amount of dedic lanc is my hero all of these rider are my hero and thi is from robertph in columbu ohio becaus it inspir me to write and becaus quot your not have fun until your not have fun and i suppos that last part is becaus it drive you to do thing you didnt think you could do
57264,75,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","Yeah, absolutely. I think the tour is widely called the most difficult endurance event in the world. It's funny when you look at some of these racers, you look at them at the beginning of the Tour de France and at the end of the Tour de France, it's to me not unlike when you see a president about to finish his eighth year, end of the second term of office. And you look back at a photograph of the first inauguration and you realize just how much the president has aged in those eight years.","yeah, absolutely. i think the tour is widely called the most difficult endurance event in the world. it's funny when you look at some of these racers, you look at them at the beginning of the tour de france and at the end of the tour de france, it's to me not unlike when you see a president about to finish his eighth year, end of the second term of office. and you look back at a photograph of the first inauguration and you realize just how much the president has aged in those eight years.",yeah absolutely i think the tour is widely called the most difficult endurance event in the world its funny when you look at some of these racers you look at them at the beginning of the tour de france and at the end of the tour de france its to me not unlike when you see a president about to finish his eighth year end of the second term of office and you look back at a photograph of the first inauguration and you realize just how much the president has aged in those eight years,yeah absolut i think the tour is wide call the most difficult endur event in the world it funni when you look at some of these racer you look at them at the begin of the tour de franc and at the end of the tour de franc it to me not unlik when you see a presid about to finish hi eighth year end of the second term of offic and you look back at a photograph of the first inaugur and you realiz just how much the presid ha age in those eight year
57264,76,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","You look at a Tour de France rider first day and then on the podium in Paris, and they almost look like a different person. They're very gaunt. Their whole body composition has changed just from having been through the rigors of the event.","you look at a tour de france rider first day and then on the podium in paris, and they almost look like a different person. they're very gaunt. their whole body composition has changed just from having been through the rigors of the event.",you look at a tour de france rider first day and then on the podium in paris and they almost look like a different person theyre very gaunt their whole body composition has changed just from having been through the rigors of the event,you look at a tour de franc rider first day and then on the podium in pari and they almost look like a differ person theyr veri gaunt their whole bodi composit ha chang just from have been through the rigor of the event
57264,77,"NEAL CONAN, host","Loren Mooney, thanks very much for your time today. We appreciate it.","loren mooney, thanks very much for your time today. we appreciate it.",loren mooney thanks very much for your time today we appreciate it,loren mooney thank veri much for your time today we appreci it
57264,78,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)",Thank you.,thank you.,thank you,thank you
57264,79,"NEAL CONAN, host",And good watching. Loren Mooney is editor-in-chief of Bicycling Magazine and joined us from our bureau in New York.,and good watching. loren mooney is editor-in-chief of bicycling magazine and joined us from our bureau in new york.,and good watching loren mooney is editorinchief of bicycling magazine and joined us from our bureau in new york,and good watch loren mooney is editorinchief of bicycl magazin and join us from our bureau in new york
57264,80,"NEAL CONAN, host",I'm Neal Conan. This is TALK OF THE NATION from NPR News. Join us tomorrow.,i'm neal conan. this is talk of the nation from npr news. join us tomorrow.,im neal conan this is talk of the nation from npr news join us tomorrow,im neal conan thi is talk of the nation from npr news join us tomorrow
58225,1,"NEAL CONAN, host",This is TALK OF THE NATION. Im Neal Conan in Washington.,this is talk of the nation. im neal conan in washington.,this is talk of the nation im neal conan in washington,thi is talk of the nation im neal conan in washington
58225,2,"NEAL CONAN, host","The U.S. Supreme Court handed down rulings in two important cases earlier today. First, in a seven-to-two decision, the high court agreed that the government can indefinitely hold convicts considered sexually dangerous, even after their prison terms are complete.","the u.s. supreme court handed down rulings in two important cases earlier today. first, in a seven-to-two decision, the high court agreed that the government can indefinitely hold convicts considered sexually dangerous, even after their prison terms are complete.",the us supreme court handed down rulings in two important cases earlier today first in a seventotwo decision the high court agreed that the government can indefinitely hold convicts considered sexually dangerous even after their prison terms are complete,the us suprem court hand down rule in two import case earlier today first in a seventotwo decis the high court agre that the govern can indefinit hold convict consid sexual danger even after their prison term are complet
58225,3,"NEAL CONAN, host","In the second case, decided five to four, the court said it is cruel and unusual punishment to sentence minors to life without the possibility of parole if murder is not involved.","in the second case, decided five to four, the court said it is cruel and unusual punishment to sentence minors to life without the possibility of parole if murder is not involved.",in the second case decided five to four the court said it is cruel and unusual punishment to sentence minors to life without the possibility of parole if murder is not involved,in the second case decid five to four the court said it is cruel and unusu punish to sentenc minor to life without the possibl of parol if murder is not involv
58225,4,"NEAL CONAN, host","Later in the program, a comic book also-ran sprints to the top of the movie box office charts. Glen Weldon joins us on ""Iron Man 2."" But first, the Supreme Court rulings.","later in the program, a comic book also-ran sprints to the top of the movie box office charts. glen weldon joins us on ""iron man 2."" but first, the supreme court rulings.",later in the program a comic book alsoran sprints to the top of the movie box office charts glen weldon joins us on iron man 2 but first the supreme court rulings,later in the program a comic book alsoran sprint to the top of the movi box offic chart glen weldon join us on iron man 2 but first the suprem court rule
58225,5,"NEAL CONAN, host","If either of these cases affects you, give us a call. Tell us how, 800-989-8255. Email us, talk@npr.org. You can also join the conversation via our website. Thats at npr.org. Click on TALK OF THE NATION.","if either of these cases affects you, give us a call. tell us how, 800-989-8255. email us, talk@npr.org. you can also join the conversation via our website. thats at npr.org. click on talk of the nation.",if either of these cases affects you give us a call tell us how 8009898255 email us talknprorg you can also join the conversation via our website thats at nprorg click on talk of the nation,if either of these case affect you give us a call tell us how 8009898255 email us talknprorg you can also join the convers via our websit that at nprorg click on talk of the nation
58225,6,"NEAL CONAN, host","We begin with David Savage, who covers the court for the Los Angeles Times and the Chicago Tribune. He joins us today by phone from his office. David, always good to have you with us. Thanks for your time.","we begin with david savage, who covers the court for the los angeles times and the chicago tribune. he joins us today by phone from his office. david, always good to have you with us. thanks for your time.",we begin with david savage who covers the court for the los angeles times and the chicago tribune he joins us today by phone from his office david always good to have you with us thanks for your time,we begin with david savag who cover the court for the lo angel time and the chicago tribun he join us today by phone from hi offic david alway good to have you with us thank for your time
58225,7,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","Hi, Neal.","hi, neal.",hi neal,hi neal
58225,8,"NEAL CONAN, host",And let's take these one at a time. A solid majority ruled it's constitutional to hold a convict even after he completes his sentence.,and let's take these one at a time. a solid majority ruled it's constitutional to hold a convict even after he completes his sentence.,and lets take these one at a time a solid majority ruled its constitutional to hold a convict even after he completes his sentence,and let take these one at a time a solid major rule it constitut to hold a convict even after he complet hi sentenc
58225,9,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","Yes, and Neal, this case actually was not a dispute about what you might think it was about, which is: Is that fair?","yes, and neal, this case actually was not a dispute about what you might think it was about, which is: is that fair?",yes and neal this case actually was not a dispute about what you might think it was about which is is that fair,ye and neal thi case actual wa not a disput about what you might think it wa about which is is that fair
58225,10,"NEAL CONAN, host",Yeah.,yeah.,yeah,yeah
58225,11,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","About 15 years ago, in a case from Kansas, the court upheld these after-the-fact punishments involving sexual criminals. They said that they were not retroactive, and it was not a violation of due process of law.","about 15 years ago, in a case from kansas, the court upheld these after-the-fact punishments involving sexual criminals. they said that they were not retroactive, and it was not a violation of due process of law.",about 15 years ago in a case from kansas the court upheld these afterthefact punishments involving sexual criminals they said that they were not retroactive and it was not a violation of due process of law,about 15 year ago in a case from kansa the court upheld these afterthefact punish involv sexual crimin they said that they were not retroact and it wa not a violat of due process of law
58225,12,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","So it's actually been clear for a while as a constitutional matter, as a matter of individual rights. The government could hold somebody after they served their term...","so it's actually been clear for a while as a constitutional matter, as a matter of individual rights. the government could hold somebody after they served their term...",so its actually been clear for a while as a constitutional matter as a matter of individual rights the government could hold somebody after they served their term,so it actual been clear for a while as a constitut matter as a matter of individu right the govern could hold somebodi after they serv their term
58225,13,"NEAL CONAN, host",Because of what they might do.,because of what they might do.,because of what they might do,becaus of what they might do
58225,14,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","Correct. Last year, however, a federal appeals court struck down the federal law on the grounds that Congress didn't have the authority to pass such a law. There is no federal police power, they say, and that Congress only has the powers that are in the Constitution, the power to regulate interstate commerce.","correct. last year, however, a federal appeals court struck down the federal law on the grounds that congress didn't have the authority to pass such a law. there is no federal police power, they say, and that congress only has the powers that are in the constitution, the power to regulate interstate commerce.",correct last year however a federal appeals court struck down the federal law on the grounds that congress didnt have the authority to pass such a law there is no federal police power they say and that congress only has the powers that are in the constitution the power to regulate interstate commerce,correct last year howev a feder appeal court struck down the feder law on the ground that congress didnt have the author to pass such a law there is no feder polic power they say and that congress onli ha the power that are in the constitut the power to regul interst commerc
58225,15,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","What the court said today, with Stephen Breyer writing a very broad opinion, was that Congress can pass laws that are necessary and proper to carry out its aims. And he wrote an opinion that said any law that's sort of rationally related to some aim that Congress has, it is constitutional.","what the court said today, with stephen breyer writing a very broad opinion, was that congress can pass laws that are necessary and proper to carry out its aims. and he wrote an opinion that said any law that's sort of rationally related to some aim that congress has, it is constitutional.",what the court said today with stephen breyer writing a very broad opinion was that congress can pass laws that are necessary and proper to carry out its aims and he wrote an opinion that said any law thats sort of rationally related to some aim that congress has it is constitutional,what the court said today with stephen breyer write a veri broad opinion wa that congress can pass law that are necessari and proper to carri out it aim and he wrote an opinion that said ani law that sort of ration relat to some aim that congress ha it is constitut
58225,41,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","You said it better, Neal.","you said it better, neal.",you said it better neal,you said it better neal
75004,1,"LIANE HANSEN, host","The Atlantic hurricane season officially ends today. In the United States, 2008 likely will be remembered as a moderately bad year for storms. But in Cuba, this season will go down as perhaps the worst season ever. NPR's Jon Hamilton has the story.","the atlantic hurricane season officially ends today. in the united states, 2008 likely will be remembered as a moderately bad year for storms. but in cuba, this season will go down as perhaps the worst season ever. npr's jon hamilton has the story.",the atlantic hurricane season officially ends today in the united states 2008 likely will be remembered as a moderately bad year for storms but in cuba this season will go down as perhaps the worst season ever nprs jon hamilton has the story,the atlant hurrican season offici end today in the unit state 2008 like will be rememb as a moder bad year for storm but in cuba thi season will go down as perhap the worst season ever npr jon hamilton ha the stori
75004,2,JON HAMILTON,"Eight hurricanes formed in the North Atlantic and Caribbean this year. Three of them, all major storms, hit Cuba. Alexis Fernandez(ph) was in Baracoa, a city on the eastern tip of Cuba, when Hurricane Ike made landfall on September 7.","eight hurricanes formed in the north atlantic and caribbean this year. three of them, all major storms, hit cuba. alexis fernandez(ph) was in baracoa, a city on the eastern tip of cuba, when hurricane ike made landfall on september 7.",eight hurricanes formed in the north atlantic and caribbean this year three of them all major storms hit cuba alexis fernandezph was in baracoa a city on the eastern tip of cuba when hurricane ike made landfall on september 7,eight hurrican form in the north atlant and caribbean thi year three of them all major storm hit cuba alexi fernandezph wa in baracoa a citi on the eastern tip of cuba when hurrican ike made landfal on septemb 7
75004,3,Mr. ALEXIS FERNANDEZ (History Teacher),"(Through Translator) The waves were as high as top of the buildings, and some of those buildings were five stories high. This in turn started the destruction of homes, people's homes that were along the beach area. Homes that people had worked all their lives for were lost in a matter of minutes.","(through translator) the waves were as high as top of the buildings, and some of those buildings were five stories high. this in turn started the destruction of homes, people's homes that were along the beach area. homes that people had worked all their lives for were lost in a matter of minutes.",through translator the waves were as high as top of the buildings and some of those buildings were five stories high this in turn started the destruction of homes peoples homes that were along the beach area homes that people had worked all their lives for were lost in a matter of minutes,through translat the wave were as high as top of the build and some of those build were five stori high thi in turn start the destruct of home peopl home that were along the beach area home that peopl had work all their live for were lost in a matter of minut
75004,4,JON HAMILTON,"Fernandez teaches history at the University in Baracoa. He says more than 6,000 homes were damaged and hundreds destroyed. Ike would go on to scour the entire length of Cuba before moving into the Gulf of Mexico. A couple of weeks earlier, Hurricane Gustav had plowed across the western part of the country. And in early November, Hurricane Paloma struck the central coast near Santa Cruz del Sur. Fernandez says it's been the worst year for hurricanes in his lifetime.","fernandez teaches history at the university in baracoa. he says more than 6,000 homes were damaged and hundreds destroyed. ike would go on to scour the entire length of cuba before moving into the gulf of mexico. a couple of weeks earlier, hurricane gustav had plowed across the western part of the country. and in early november, hurricane paloma struck the central coast near santa cruz del sur. fernandez says it's been the worst year for hurricanes in his lifetime.",fernandez teaches history at the university in baracoa he says more than 6000 homes were damaged and hundreds destroyed ike would go on to scour the entire length of cuba before moving into the gulf of mexico a couple of weeks earlier hurricane gustav had plowed across the western part of the country and in early november hurricane paloma struck the central coast near santa cruz del sur fernandez says its been the worst year for hurricanes in his lifetime,fernandez teach histori at the univers in baracoa he say more than 6000 home were damag and hundr destroy ike would go on to scour the entir length of cuba befor move into the gulf of mexico a coupl of week earlier hurrican gustav had plow across the western part of the countri and in earli novemb hurrican paloma struck the central coast near santa cruz del sur fernandez say it been the worst year for hurrican in hi lifetim
75004,5,Mr. ALEXIS FERNANDEZ (History Teacher),"(Through Translator) In the '60s, we suffered a lot from Hurricane Flora. There were great floods. There were hundreds of deaths. In this series of hurricanes, there's been a lot of economic damage. But in human life, it hasn't been as bad because the state has been able to control and help us evacuate, so that the damage in human lives is minimal.","(through translator) in the '60s, we suffered a lot from hurricane flora. there were great floods. there were hundreds of deaths. in this series of hurricanes, there's been a lot of economic damage. but in human life, it hasn't been as bad because the state has been able to control and help us evacuate, so that the damage in human lives is minimal.",through translator in the 60s we suffered a lot from hurricane flora there were great floods there were hundreds of deaths in this series of hurricanes theres been a lot of economic damage but in human life it hasnt been as bad because the state has been able to control and help us evacuate so that the damage in human lives is minimal,through translat in the 60 we suffer a lot from hurrican flora there were great flood there were hundr of death in thi seri of hurrican there been a lot of econom damag but in human life it hasnt been as bad becaus the state ha been abl to control and help us evacu so that the damag in human live is minim
75004,6,JON HAMILTON,"The storms did more than $10 billion of damage in Cuba and left tens of thousands homeless. But only a handful of people died. One reason is Cuba's highly organized evacuation system. Another reason is that Cuban meteorologists work closely with their U.S. counterparts to forecast and track storms. Cuba even allows U.S. hurricane hunter aircraft to fly into Cuban airspace. And then there's Cuba's chief hurricane forecaster, Jose Rubiera.","the storms did more than $10 billion of damage in cuba and left tens of thousands homeless. but only a handful of people died. one reason is cuba's highly organized evacuation system. another reason is that cuban meteorologists work closely with their u.s. counterparts to forecast and track storms. cuba even allows u.s. hurricane hunter aircraft to fly into cuban airspace. and then there's cuba's chief hurricane forecaster, jose rubiera.",the storms did more than 10 billion of damage in cuba and left tens of thousands homeless but only a handful of people died one reason is cubas highly organized evacuation system another reason is that cuban meteorologists work closely with their us counterparts to forecast and track storms cuba even allows us hurricane hunter aircraft to fly into cuban airspace and then theres cubas chief hurricane forecaster jose rubiera,the storm did more than 10 billion of damag in cuba and left ten of thousand homeless but onli a hand of peopl die one reason is cuba highli organ evacu system anoth reason is that cuban meteorologist work close with their us counterpart to forecast and track storm cuba even allow us hurrican hunter aircraft to fli into cuban airspac and then there cuba chief hurrican forecast jose rubiera
75004,7,_NO_SPEAKER,(Soundbite of hurricane forecaster Jose Rubiera on Cuban TV),(soundbite of hurricane forecaster jose rubiera on cuban tv),soundbite of hurricane forecaster jose rubiera on cuban tv,soundbit of hurrican forecast jose rubiera on cuban tv
75004,8,JON HAMILTON,"That's Rubiera on Cuban television describing Ike. He's a fixture on Cuban TV anytime a storm is on the way, and viewers pay attention to his warnings. Caribbean nations with less expertise and infrastructure were badly hurt by hurricanes this season. In Haiti, hundreds of people died. In the U.S. this year, hurricanes struck Texas and Louisiana. Hurricane Ike regained much of its strength after passing over Cuba. Then it weakened to a category two storm before making landfall near Galveston, Texas. Even so, Ike killed more than 80 people in the U.S. and caused damage of more than $25 billion. Gerry Bell is the lead seasonal forecaster at the National Oceanic and Atmospheric Administration. He says there are several reasons Ike was so dangerous, even though its wind speeds weren't that high.","that's rubiera on cuban television describing ike. he's a fixture on cuban tv anytime a storm is on the way, and viewers pay attention to his warnings. caribbean nations with less expertise and infrastructure were badly hurt by hurricanes this season. in haiti, hundreds of people died. in the u.s. this year, hurricanes struck texas and louisiana. hurricane ike regained much of its strength after passing over cuba. then it weakened to a category two storm before making landfall near galveston, texas. even so, ike killed more than 80 people in the u.s. and caused damage of more than $25 billion. gerry bell is the lead seasonal forecaster at the national oceanic and atmospheric administration. he says there are several reasons ike was so dangerous, even though its wind speeds weren't that high.",thats rubiera on cuban television describing ike hes a fixture on cuban tv anytime a storm is on the way and viewers pay attention to his warnings caribbean nations with less expertise and infrastructure were badly hurt by hurricanes this season in haiti hundreds of people died in the us this year hurricanes struck texas and louisiana hurricane ike regained much of its strength after passing over cuba then it weakened to a category two storm before making landfall near galveston texas even so ike killed more than 80 people in the us and caused damage of more than 25 billion gerry bell is the lead seasonal forecaster at the national oceanic and atmospheric administration he says there are several reasons ike was so dangerous even though its wind speeds werent that high,that rubiera on cuban televis describ ike he a fixtur on cuban tv anytim a storm is on the way and viewer pay attent to hi warn caribbean nation with less expertis and infrastructur were badli hurt by hurrican thi season in haiti hundr of peopl die in the us thi year hurrican struck texa and louisiana hurrican ike regain much of it strength after pass over cuba then it weaken to a categori two storm befor make landfal near galveston texa even so ike kill more than 80 peopl in the us and caus damag of more than 25 billion gerri bell is the lead season forecast at the nation ocean and atmospher administr he say there are sever reason ike wa so danger even though it wind speed werent that high
75004,9,"Dr. GERRY BELL (Meteorologist, National Oceanic and Atmospheric Administration)","The tremendous storm surge, the very long track over water where the hurricane could really, really pile up the water, also the speed of movement of the storm. If it's a slow moving hurricane, it's going to stay over any given area longer and obviously increase the potential for more damage.","the tremendous storm surge, the very long track over water where the hurricane could really, really pile up the water, also the speed of movement of the storm. if it's a slow moving hurricane, it's going to stay over any given area longer and obviously increase the potential for more damage.",the tremendous storm surge the very long track over water where the hurricane could really really pile up the water also the speed of movement of the storm if its a slow moving hurricane its going to stay over any given area longer and obviously increase the potential for more damage,the tremend storm surg the veri long track over water where the hurrican could realli realli pile up the water also the speed of movement of the storm if it a slow move hurrican it go to stay over ani given area longer and obvious increas the potenti for more damag
